{'shape': 'tan', 'n': '5', 'container': 'tan', 'record': 2.4058, 'proposer': 'random', 'seed': 0, 's': 2.405969534451463, 'gap': 0.00016953445146272728, 'seconds': 49.2}
{'shape': 'tan', 'n': '10', 'container': 'tan', 'record': 3.3075, 'proposer': 'random', 'seed': 1, 's': 3.374179594737847, 'gap': 0.06667959473784668, 'seconds': 56.6}
{'shape': 'tan', 'n': '10', 'container': 'tan', 'record': 3.3075, 'proposer': 'random', 'seed': 2, 's': 3.3653776537140145, 'gap': 0.05787765371401443, 'seconds': 60.8}
{'shape': 'tan', 'n': '10', 'container': 'tan', 'record': 3.3075, 'proposer': 'llm', 'seed': 0, 's': 3.3074635874239, 'gap': -3.641257610009774e-05, 'seconds': 461.7}
{'shape': 'tan', 'n': '10', 'container': 'tan', 'record': 3.3075, 'proposer': 'llm', 'seed': 1, 's': 3.374179594737847, 'gap': 0.06667959473784668, 'seconds': 429.6}
{'shape': 'tan', 'n': '10', 'container': 'tan', 'record': 3.3075, 'proposer': 'llm', 'seed': 2, 's': 3.3261887347779377, 'gap': 0.018688734777937643, 'seconds': 441.9}
{'shape': 'tan', 'n': '12', 'container': 'tan', 'record': 3.5315, 'proposer': 'random', 'seed': 0, 's': 3.6213204544951187, 'gap': 0.08982045449511888, 'seconds': 65.4}
{'shape': 'tan', 'n': '12', 'container': 'tan', 'record': 3.5315, 'proposer': 'random', 'seed': 1, 's': 3.621320584898787, 'gap': 0.08982058489878719, 'seconds': 71.4}
{'shape': 'tan', 'n': '12', 'container': 'tan', 'record': 3.5315, 'proposer': 'random', 'seed': 2, 's': 3.535534274837518, 'gap': 0.004034274837517948, 'seconds': 67.0}
{'shape': 'tan', 'n': '12', 'container': 'tan', 'record': 3.5315, 'proposer': 'llm', 'seed': 0, 's': 3.5310733464834296, 'gap': -0.0004266535165702301, 'seconds': 462.8}
{'shape': 'tan', 'n': '12', 'container': 'tan', 'record': 3.5315, 'proposer': 'llm', 'seed': 1, 's': 3.621320584898787, 'gap': 0.08982058489878719, 'seconds': 452.7}
{'shape': 'tan', 'n': '12', 'container': 'tan', 'record': 3.5315, 'proposer': 'llm', 'seed': 2, 's': 3.659479483327628, 'gap': 0.12797948332762799, 'seconds': 442.3}
{'shape': 'tan', 'n': '10', 'container': 'L', 'record': 1.4005, 'proposer': 'random', 'seed': 0, 's': 1.41421360132575, 'gap': 0.013713601325749947, 'seconds': 66.8}
{'shape': 'tan', 'n': '10', 'container': 'L', 'record': 1.4005, 'proposer': 'random', 'seed': 1, 's': 1.4142136356596162, 'gap': 0.013713635659616141, 'seconds': 62.7}
{'shape': 'tan', 'n': '10', 'container': 'L', 'record': 1.4005, 'proposer': 'random', 'seed': 2, 's': 1.4019900331092652, 'gap': 0.0014900331092650987, 'seconds': 349.8}
{'shape': 'tan', 'n': '10', 'container': 'L', 'record': 1.4005, 'proposer': 'llm', 'seed': 0, 's': 1.41421360132575, 'gap': 0.013713601325749947, 'seconds': 431.0}
{'shape': 'tan', 'n': '10', 'container': 'L', 'record': 1.4005, 'proposer': 'llm', 'seed': 1, 's': 1.4142136356596162, 'gap': 0.013713635659616141, 'seconds': 441.1}
{'shape': 'tan', 'n': '10', 'container': 'L', 'record': 1.4005, 'proposer': 'llm', 'seed': 2, 's': 1.4019900331092652, 'gap': 0.0014900331092650987, 'seconds': 726.2}
{'shape': 'tan', 'n': '13', 'container': 'L', 'record': 1.4995, 'proposer': 'random', 'seed': 0, 's': 1.5895523772480562, 'gap': 0.09005237724805615, 'seconds': 90.1}
{'shape': 'tan', 'n': '13', 'container': 'L', 'record': 1.4995, 'proposer': 'random', 'seed': 1, 's': 1.5550095154661143, 'gap': 0.05550951546611427, 'seconds': 89.6}
{'shape': 'tan', 'n': '13', 'container': 'L', 'record': 1.4995, 'proposer': 'random', 'seed': 2, 's': 1.5522364010823069, 'gap': 0.052736401082306816, 'seconds': 97.1}
{'shape': 'tan', 'n': '13', 'container': 'L', 'record': 1.4995, 'proposer': 'llm', 'seed': 0, 's': 1.57679677138807, 'gap': 0.0772967713880699, 'seconds': 525.2}
{'shape': 'tan', 'n': '13', 'container': 'L', 'record': 1.4995, 'proposer': 'llm', 'seed': 1, 's': 1.5446042227103718, 'gap': 0.04510422271037173, 'seconds': 536.8}
{'shape': 'tan', 'n': '13', 'container': 'L', 'record': 1.4995, 'proposer': 'llm', 'seed': 2, 's': 1.5493275704026914, 'gap': 0.04982757040269137, 'seconds': 461.0}
wrote results.csv
